"Step","0_sazut-tonat-dokabtofok - episodic_return","0_sazut-tonat-dokabtofok - episodic_return__MIN","0_sazut-tonat-dokabtofok - episodic_return__MAX"
"946","0","0","0"
"967","0","0","0"
"1196","0","0","0"
"1279","0","0","0"
"1306","0","0","0"
"1716","0","0","0"
"1781","0","0","0"
"1839","0","0","0"
"1966","0","0","0"
"1987","0","0","0"
"2252","0","0","0"
"2430","0","0","0"
"2589","0","0","0"
"2665","0","0","0"
"2770","0","0","0"
"2976","0","0","0"
"3056","0","0","0"
"3220","1","1","1"
"3335","0","0","0"
"3403","0","0","0"
"3585","0","0","0"
"3708","0","0","0"
"3792","0","0","0"
"3948","0","0","0"
"3997","0","0","0"
"4409","0","0","0"
"4444","0","0","0"
"4606","0","0","0"
"4715","0","0","0"
"4789","0","0","0"
"4889","0","0","0"
"4934","1","1","1"
"5349","0","0","0"
"5412","0","0","0"
"5498","1","1","1"
"5506","1","1","1"
"5878","0","0","0"
"5996","0","0","0"
"6238","1","1","1"
"6296","1","1","1"
"6381","0","0","0"
"6892","0","0","0"
"7014","1","1","1"
"7150","0","0","0"
"7274","1","1","1"
"7557","1","1","1"
"7838","0","0","0"
"7970","3","3","3"
"8200","0","0","0"
"8275","1","1","1"
"8523","1","1","1"
"8626","0","0","0"
"8751","1","1","1"
"8863","0","0","0"
"9013","1","1","1"
"9040","0","0","0"
"9471","1","1","1"
"9474","1","1","1"
"9561","0","0","0"
"9745","1","1","1"
"9814","0","0","0"
"9883","0","0","0"
"10356","2","2","2"
"10378","4","4","4"
"10623","0","0","0"
"10700","1","1","1"
"10770","1","1","1"
"10831","1","1","1"
"10889","0","0","0"
"11120","0","0","0"
"11424","1","1","1"
"11565","1","1","1"
"11975","0","0","0"
"12151","2","2","2"
"12171","0","0","0"
"12249","1","1","1"
"12331","0","0","0"
"12760","0","0","0"
"13714","0","0","0"
"13804","0","0","0"
"14927","0","0","0"
"15790","1","1","1"
"16303","0","0","0"
"18001","0","0","0"
"21308","5","5","5"
"23808","5","5","5"
"24364","7","7","7"
"25489","3","3","3"
"26068","1","1","1"
"26721","5","5","5"
"27675","3","3","3"
"29284","3","3","3"
"29321","6","6","6"
"30302","8","8","8"
"30434","5","5","5"
"30612","1","1","1"
"31274","13","13","13"
"31446","9","9","9"
"32097","3","3","3"
"33062","12","12","12"
"34272","5","5","5"
"34626","5","5","5"
"36827","0","0","0"
"38285","8","8","8"
"39221","7","7","7"
"39413","0","0","0"
"39674","40","40","40"
"39820","13","13","13"
"40630","9","9","9"
"41774","3","3","3"
"42099","40","40","40"
"42676","40","40","40"
"43946","5","5","5"
"44326","7","7","7"
"45486","0","0","0"
"45663","40","40","40"
"46046","6","6","6"
"46335","20","20","20"
"46521","40","40","40"
"48196","40","40","40"
"48845","5","5","5"
"49021","40","40","40"
"49545","8","8","8"
"49654","5","5","5"
"51091","40","40","40"
"51208","41","41","41"
"51566","4","4","4"
"51605","40","40","40"
"51922","40","40","40"
"51992","40","40","40"
"52035","40","40","40"
