"Step","11_sazut-tonat-nigonribop - episodic_return","11_sazut-tonat-nigonribop - episodic_return__MIN","11_sazut-tonat-nigonribop - episodic_return__MAX"
"24","10","10","10"
"269","10","10","10"
"16558","10","10","10"
"20739","10","10","10"
"22532","10","10","10"
"24827","10","10","10"
"25711","10","10","10"
"26236","10","10","10"
"26247","10","10","10"
"26359","10","10","10"
"27130","10","10","10"
"29019","10","10","10"
"30901","10","10","10"
"31481","10","10","10"
"32513","10","10","10"
"32840","0","0","0"
"32914","10","10","10"
"33477","10","10","10"
"34461","10","10","10"
"34620","10","10","10"
"34777","10","10","10"
"36639","10","10","10"
"37328","10","10","10"
"37986","10","10","10"
"39435","0","0","0"
"39886","10","10","10"
"40198","10","10","10"
"42135","10","10","10"
"42380","10","10","10"
"43187","10","10","10"
"43836","10","10","10"
"45003","10","10","10"
"45377","10","10","10"
"46188","10","10","10"
"46350","10","10","10"
"47686","10","10","10"
"47883","10","10","10"
"48046","10","10","10"
"49216","10","10","10"
"49843","10","10","10"
"50122","10","10","10"
"50729","10","10","10"
"51978","10","10","10"
"52463","10","10","10"
"52874","10","10","10"
"53120","10","10","10"
"54484","10","10","10"
"55472","10","10","10"
"56010","10","10","10"
"56239","10","10","10"
"56855","10","10","10"
"57354","10","10","10"
"57482","10","10","10"
"57812","10","10","10"
"59131","10","10","10"
"59564","10","10","10"
"60230","10","10","10"
"60373","10","10","10"
"60928","10","10","10"
"63242","10","10","10"
"63481","0","0","0"
"63692","10","10","10"
"65216","10","10","10"
"65862","10","10","10"
"68389","10","10","10"
"69046","10","10","10"
"69586","10","10","10"
"69640","10","10","10"
"69733","10","10","10"
"69834","10","10","10"
"70147","10","10","10"
"70594","10","10","10"
"71498","10","10","10"
"71817","0","0","0"
"73286","10","10","10"
"75293","10","10","10"
"75996","10","10","10"
"76136","10","10","10"
"76591","10","10","10"
"77126","10","10","10"
"77199","10","10","10"
"78666","10","10","10"
"78740","10","10","10"
"80677","10","10","10"
"81172","10","10","10"
"81428","10","10","10"
"81827","10","10","10"
"82809","10","10","10"
"83101","10","10","10"
"83333","10","10","10"
"83417","10","10","10"
"84619","10","10","10"
"86090","10","10","10"
"87005","10","10","10"
"88685","10","10","10"
"89123","10","10","10"
"89229","10","10","10"
"89602","10","10","10"
"90226","10","10","10"
"91842","10","10","10"
"93311","10","10","10"
"93597","10","10","10"
"93936","10","10","10"
"94214","10","10","10"
"95289","10","10","10"
"95332","10","10","10"
"95491","10","10","10"
"95644","10","10","10"
"96472","0","0","0"
"97046","10","10","10"
"98059","10","10","10"
"98708","10","10","10"
"99869","10","10","10"
"100331","10","10","10"
"100828","10","10","10"
"101716","10","10","10"
"102495","10","10","10"
"103038","10","10","10"
"103289","10","10","10"
"103512","10","10","10"
"103760","10","10","10"
"104984","10","10","10"
"106252","0","0","0"
"106813","10","10","10"
"107456","0","0","0"
"108094","10","10","10"
"108180","10","10","10"
"108295","10","10","10"
"108681","10","10","10"
"109248","10","10","10"
"110345","10","10","10"
"110744","10","10","10"
"111111","10","10","10"
"111373","10","10","10"
"111483","10","10","10"
"111711","10","10","10"
"113142","10","10","10"
"113366","10","10","10"
"114934","10","10","10"
"115543","10","10","10"
"116567","10","10","10"
"116632","10","10","10"
"116831","10","10","10"
"116937","10","10","10"
"117005","10","10","10"
"117114","10","10","10"
"117198","0","0","0"
"117261","10","10","10"
"117528","10","10","10"
"117843","10","10","10"
"118367","10","10","10"
"118530","10","10","10"
"118914","10","10","10"
"119306","10","10","10"
"119575","10","10","10"
"119683","10","10","10"
"120135","10","10","10"
"120455","10","10","10"
"120781","10","10","10"
