"Step","12_sazut-tonat-zanohripok - episodic_return","12_sazut-tonat-zanohripok - episodic_return__MIN","12_sazut-tonat-zanohripok - episodic_return__MAX"
"330","0","0","0"
"908","0","0","0"
"1630","0","0","0"
"1727","0","0","0"
"1970","0","0","0"
"2123","0","0","0"
"2650","0","0","0"
"3160","1","1","1"
"3264","0","0","0"
"4331","0","0","0"
"5160","0","0","0"
"6322","0","0","0"
"6339","0","0","0"
"7712","0","0","0"
"9702","0","0","0"
"10642","0","0","0"
"11515","0","0","0"
"11786","1","1","1"
"11953","1","1","1"
"15101","0","0","0"
"17126","0","0","0"
"17784","2","2","2"
"20263","1","1","1"
"20587","1","1","1"
"21749","2","2","2"
"22799","1","1","1"
"22924","3","3","3"
"24435","2","2","2"
"24455","2","2","2"
"25618","13","13","13"
"26241","2","2","2"
"26410","13","13","13"
"27219","2","2","2"
"27393","0","0","0"
"28825","13","13","13"
"29400","13","13","13"
"29581","1","1","1"
"30633","13","13","13"
"30681","1","1","1"
"31604","3","3","3"
"32058","13","13","13"
"32658","1","1","1"
"33312","13","13","13"
"34794","2","2","2"
"38169","0","0","0"
"38507","13","13","13"
"39903","13","13","13"
"40287","0","0","0"
"40705","2","2","2"
"41011","13","13","13"
"41643","2","2","2"
"42390","2","2","2"
"43667","13","13","13"
"44804","13","13","13"
"46576","2","2","2"
"47716","13","13","13"
"48151","13","13","13"
"49312","13","13","13"
"50283","2","2","2"
"51226","13","13","13"
"52055","2","2","2"
"52164","13","13","13"
"54422","0","0","0"
"54558","2","2","2"
"54884","13","13","13"
"55251","13","13","13"
"57006","3","3","3"
"57077","3","3","3"
"57310","13","13","13"
"57439","13","13","13"
"57687","3","3","3"
"58180","13","13","13"
"58836","13","13","13"
"59569","13","13","13"
"61168","13","13","13"
"62567","13","13","13"
"63861","0","0","0"
"64913","1","1","1"
"65727","2","2","2"
"65817","13","13","13"
"66123","2","2","2"
"66274","0","0","0"
"67363","13","13","13"
"68543","13","13","13"
"68876","13","13","13"
"69160","2","2","2"
"69677","3","3","3"
"70766","13","13","13"
"70857","1","1","1"
"73251","2","2","2"
"73550","13","13","13"
"73819","13","13","13"
"74070","13","13","13"
"75315","13","13","13"
"75515","3","3","3"
"75906","2","2","2"
"76012","13","13","13"
"76260","2","2","2"
"76811","13","13","13"
"78533","1","1","1"
"78844","13","13","13"
"79188","13","13","13"
"80045","13","13","13"
"81215","13","13","13"
"83264","13","13","13"
"83662","13","13","13"
"83914","13","13","13"
"84002","13","13","13"
"84332","13","13","13"
"84860","3","3","3"
"85606","3","3","3"
"85765","2","2","2"
"86799","3","3","3"
"86873","3","3","3"
"86942","2","2","2"
"88209","13","13","13"
"88455","2","2","2"
"89035","13","13","13"
"89882","13","13","13"
"90445","2","2","2"
"91641","13","13","13"
"92029","0","0","0"
"92731","3","3","3"
"94246","13","13","13"
"95604","0","0","0"
"95698","0","0","0"
"96343","2","2","2"
"97099","2","2","2"
"97671","13","13","13"
"98981","13","13","13"
"99679","13","13","13"
"100292","1","1","1"
"100781","13","13","13"
"103063","1","1","1"
"104059","10","10","10"
"104628","13","13","13"
"105174","13","13","13"
"107139","2","2","2"
"107429","3","3","3"
"107774","13","13","13"
"107784","3","3","3"
"108475","2","2","2"
"109410","13","13","13"
"110280","2","2","2"
"111142","1","1","1"
"112150","13","13","13"
"113167","13","13","13"
"113312","3","3","3"
"114283","1","1","1"
"114376","13","13","13"
"114658","13","13","13"
"115588","13","13","13"
"115655","13","13","13"
"115750","13","13","13"
"115965","13","13","13"
"115993","13","13","13"
"116225","3","3","3"
"117084","13","13","13"
"118404","1","1","1"
"118523","1","1","1"
"119138","13","13","13"
"119251","1","1","1"
"119869","13","13","13"
"120095","13","13","13"
"120510","13","13","13"
"122295","1","1","1"
"123033","13","13","13"
"123292","13","13","13"
"123494","0","0","0"
"123554","2","2","2"
"124027","2","2","2"
"124127","13","13","13"
"124959","1","1","1"
"127311","1","1","1"
"127861","2","2","2"
"127957","2","2","2"
"129181","1","1","1"
"129931","13","13","13"
"130229","13","13","13"
"130646","13","13","13"
"131199","2","2","2"
"131971","0","0","0"
"133239","13","13","13"
"134142","0","0","0"
"135815","13","13","13"
"136605","3","3","3"
"137819","2","2","2"
"137921","13","13","13"
"138554","13","13","13"
"139414","13","13","13"
"140834","13","13","13"
"141344","2","2","2"
"141475","13","13","13"
"141672","2","2","2"
"142279","13","13","13"
"142991","13","13","13"
"143453","13","13","13"
"144219","13","13","13"
"145947","13","13","13"
"146098","13","13","13"
"147194","13","13","13"
"148000","13","13","13"
"148332","2","2","2"
"148679","2","2","2"
"149009","2","2","2"
"149134","13","13","13"
"149205","13","13","13"
"149250","13","13","13"
"150167","13","13","13"
"150863","13","13","13"
"151131","13","13","13"
"151780","2","2","2"
"152465","13","13","13"
"152684","13","13","13"
"152762","13","13","13"
"153551","13","13","13"
"153851","13","13","13"
"154757","13","13","13"
"155152","13","13","13"
"155294","2","2","2"
"156174","13","13","13"
"156741","13","13","13"
"156989","3","3","3"
"157036","13","13","13"
"157201","13","13","13"
"157333","2","2","2"
"157709","3","3","3"
"158443","13","13","13"
"158517","3","3","3"
"158529","13","13","13"
"159692","13","13","13"
"159801","3","3","3"
"160016","3","3","3"
"160348","3","3","3"
"160891","13","13","13"
"161240","13","13","13"
"161698","13","13","13"
"161736","13","13","13"
"162590","1","1","1"
"164114","13","13","13"
"164360","13","13","13"
"165069","0","0","0"
"166303","13","13","13"
"167019","13","13","13"
"167319","13","13","13"
"167568","13","13","13"
"168149","13","13","13"
"168524","13","13","13"
"168747","2","2","2"
"172680","13","13","13"
"173099","13","13","13"
"173882","13","13","13"
"174216","13","13","13"
"174292","3","3","3"
"174379","2","2","2"
"174480","3","3","3"
"175007","13","13","13"
