"Step","14_sazut-tonat-munobhasaz - episodic_return","14_sazut-tonat-munobhasaz - episodic_return__MIN","14_sazut-tonat-munobhasaz - episodic_return__MAX"
"11934","0","0","0"
"12512","1","1","1"
"13748","1","1","1"
"14415","1","1","1"
"14954","1","1","1"
"15038","2","2","2"
"15208","2","2","2"
"15383","3","3","3"
"16077","0","0","0"
"16192","4","4","4"
"17014","1","1","1"
"17046","0","0","0"
"17457","2","2","2"
"17671","5","5","5"
"17803","2","2","2"
"17882","4","4","4"
"18137","3","3","3"
"18812","3","3","3"
"18917","3","3","3"
"19144","4","4","4"
"19227","2","2","2"
"19589","3","3","3"
"20033","3","3","3"
"20283","4","4","4"
"20562","1","1","1"
"20643","3","3","3"
"21294","3","3","3"
"21367","3","3","3"
"21749","5","5","5"
"22346","3","3","3"
"22851","3","3","3"
"22985","3","3","3"
"23310","4","4","4"
"23805","2","2","2"
"24058","2","2","2"
"24184","7","7","7"
"24708","9","9","9"
"24916","9","9","9"
"25511","4","4","4"
"25681","5","5","5"
"25954","5","5","5"
"26468","4","4","4"
"26754","6","6","6"
"27027","3","3","3"
"27293","5","5","5"
"28254","2","2","2"
"28530","9","9","9"
"29999","8","8","8"
"31092","2","2","2"
"31328","3","3","3"
"31580","9","9","9"
"32097","9","9","9"
"32811","6","6","6"
"32936","2","2","2"
"33713","0","0","0"
"35591","0","0","0"
"35776","3","3","3"
"36336","8","8","8"
"36478","0","0","0"
"37007","1","1","1"
"37727","6","6","6"
"39295","11","11","11"
"39494","11","11","11"
"40425","13","13","13"
"40554","5","5","5"
"41015","0","0","0"
"41041","0","0","0"
"41461","4","4","4"
"41978","4","4","4"
"42128","9","9","9"
"42194","2","2","2"
"42724","2","2","2"
"43331","3","3","3"
"43403","2","2","2"
"43524","2","2","2"
"43790","2","2","2"
"44091","4","4","4"
"45193","4","4","4"
"45467","8","8","8"
"45573","3","3","3"
"45911","8","8","8"
"46042","3","3","3"
"46102","4","4","4"
"46567","6","6","6"
"46621","2","2","2"
"46858","2","2","2"
"47164","5","5","5"
"47193","5","5","5"
"49400","2","2","2"
"49529","6","6","6"
"49637","4","4","4"
"51416","4","4","4"
"51464","5","5","5"
"52244","4","4","4"
"52459","3","3","3"
"52481","5","5","5"
"52704","2","2","2"
"52755","3","3","3"
"53025","2","2","2"
"53811","11","11","11"
"54639","2","2","2"
"54750","4","4","4"
"54869","10","10","10"
"54989","8","8","8"
"55196","5","5","5"
"55543","0","0","0"
"56543","2","2","2"
"57085","5","5","5"
"57513","0","0","0"
"57536","0","0","0"
"57927","4","4","4"
"58086","7","7","7"
"58639","2","2","2"
"59788","10","10","10"
"59974","3","3","3"
"60860","1","1","1"
"61114","2","2","2"
"61246","6","6","6"
"61872","5","5","5"
"62254","11","11","11"
"62887","1","1","1"
"63170","14","14","14"
"63650","11","11","11"
"64232","4","4","4"
"64501","2","2","2"
"65166","4","4","4"
"65353","5","5","5"
"65412","2","2","2"
"66130","2","2","2"
"66404","3","3","3"
